CustomerID,churn_probability,churn_prediction,churn_risk_tier,scored_model
15413,0.8171665162580911,1,High,LogisticRegression
13935,0.740461166892349,1,High,LogisticRegression
14091,0.8514605670808744,1,High,LogisticRegression
16749,0.77199813769039,1,High,LogisticRegression
13902,0.7707856312736997,1,High,LogisticRegression
15077,0.7530368085701503,1,High,LogisticRegression
18026,0.7826387349189929,1,High,LogisticRegression
16118,0.8371394105154519,1,High,LogisticRegression
16067,0.736033026590483,1,High,LogisticRegression
13734,0.7396208315968211,1,High,LogisticRegression
12671,0.7846827206754328,1,High,LogisticRegression
12469,0.7689949940164007,1,High,LogisticRegression
14938,0.8074553756893104,1,High,LogisticRegression
18051,0.7439984302974997,1,High,LogisticRegression
15946,0.7091864179843006,1,High,LogisticRegression
13407,0.7358137765009125,1,High,LogisticRegression
13371,0.7142156264740572,1,High,LogisticRegression
15538,0.769790356771825,1,High,LogisticRegression
17039,0.840211734719063,1,High,LogisticRegression
16993,0.7575017114098034,1,High,LogisticRegression
17305,0.8891335209853364,1,High,LogisticRegression
12911,0.7591054695450579,1,High,LogisticRegression
13205,0.8468983238524666,1,High,LogisticRegression
18052,0.817833437971751,1,High,LogisticRegression
17474,0.8962768604535285,1,High,LogisticRegression
13526,0.8900942213926445,1,High,LogisticRegression
15008,0.7852026559636731,1,High,LogisticRegression
16772,0.623715372774494,1,Medium,LogisticRegression
12511,0.6835253835663326,1,Medium,LogisticRegression
16335,0.623911158665492,1,Medium,LogisticRegression
12385,0.7118175719599453,1,High,LogisticRegression
15171,0.7143112358350796,1,High,LogisticRegression
12666,0.7664276410989322,1,High,LogisticRegression
14213,0.7812051270932646,1,High,LogisticRegression
14612,0.7819705006744747,1,High,LogisticRegression
18279,0.8334499137889002,1,High,LogisticRegression
16795,0.4698747224438311,0,Medium,LogisticRegression
12687,0.7272063782513495,1,High,LogisticRegression
18214,0.7166450381604613,1,High,LogisticRegression
15911,0.7025746237751052,1,High,LogisticRegression
12813,0.7654940603997791,1,High,LogisticRegression
14831,0.8361918762459366,1,High,LogisticRegression
14028,0.8133966445224721,1,High,LogisticRegression
14695,0.7170796882029825,1,High,LogisticRegression
15310,0.732775993861572,1,High,LogisticRegression
17028,0.7606866270746828,1,High,LogisticRegression
13337,0.777606967579156,1,High,LogisticRegression
13042,0.7563194509058304,1,High,LogisticRegression
13361,0.7524292319759772,1,High,LogisticRegression
13543,0.8576842312152274,1,High,LogisticRegression
16088,0.8677372658784029,1,High,LogisticRegression
16077,0.8849118353438209,1,High,LogisticRegression
12549,0.7773593417465489,1,High,LogisticRegression
12533,0.7887720716313319,1,High,LogisticRegression
12711,0.7778048645368509,1,High,LogisticRegression
16296,0.7982151180941589,1,High,LogisticRegression
14933,0.8115743912193515,1,High,LogisticRegression
18286,0.7138354770149281,1,High,LogisticRegression
17529,0.8101866372987576,1,High,LogisticRegression
13074,0.7264164014369562,1,High,LogisticRegression
17539,0.7648661193924922,1,High,LogisticRegression
14430,0.7549409065883244,1,High,LogisticRegression
13459,0.822761429523312,1,High,LogisticRegression
12439,0.8969839682367429,1,High,LogisticRegression
12742,0.8757779377249276,1,High,LogisticRegression
17477,0.8504924483971036,1,High,LogisticRegression
13393,0.7678542901798967,1,High,LogisticRegression
17622,0.8492539542627481,1,High,LogisticRegression
14671,0.787291925542644,1,High,LogisticRegression
14917,0.8248944241590244,1,High,LogisticRegression
15559,0.819903146320279,1,High,LogisticRegression
15546,0.8846110762846122,1,High,LogisticRegression
15586,0.7939259668985622,1,High,LogisticRegression
13775,0.8369727879179484,1,High,LogisticRegression
16527,0.7029654546469527,1,High,LogisticRegression
16435,0.704488896672411,1,High,LogisticRegression
12905,0.8073412965601657,1,High,LogisticRegression
13039,0.7996251384510915,1,High,LogisticRegression
15771,0.8248602500167619,1,High,LogisticRegression
13965,0.7356786155384875,1,High,LogisticRegression
16661,0.7501969280937076,1,High,LogisticRegression
13641,0.7926887276152476,1,High,LogisticRegression
14230,0.7099211503254793,1,High,LogisticRegression
13204,0.9086238401420281,1,High,LogisticRegression
12486,0.7765810357352254,1,High,LogisticRegression
15430,0.747651214904547,1,High,LogisticRegression
15177,0.7378469562244584,1,High,LogisticRegression
15176,0.8828748031224922,1,High,LogisticRegression
17020,0.765375833367195,1,High,LogisticRegression
15268,0.7417560701922977,1,High,LogisticRegression
12396,0.906513058158415,1,High,LogisticRegression
13465,0.7130591683057789,1,High,LogisticRegression
13288,0.7083257225134647,1,High,LogisticRegression
14568,0.775930458147408,1,High,LogisticRegression
12368,0.9132984440356661,1,High,LogisticRegression
12675,0.8286812109564193,1,High,LogisticRegression
13872,0.7619488033355025,1,High,LogisticRegression
12543,0.7867615193414872,1,High,LogisticRegression
15259,0.7125553876176612,1,High,LogisticRegression
14969,0.9126485862805543,1,High,LogisticRegression
14061,0.7993777365129452,1,High,LogisticRegression
12801,0.8263993647013568,1,High,LogisticRegression
15824,0.7365499701828185,1,High,LogisticRegression
13768,0.9047891904177725,1,High,LogisticRegression
14372,0.7222311108866356,1,High,LogisticRegression
17161,0.7312586515887637,1,High,LogisticRegression
15784,0.7458088299171068,1,High,LogisticRegression
14556,0.7856136188978982,1,High,LogisticRegression
15190,0.7197886603484301,1,High,LogisticRegression
12903,0.7273720540933493,1,High,LogisticRegression
16798,0.7677617526112908,1,High,LogisticRegression
16246,0.7150230479544447,1,High,LogisticRegression
14260,0.7012877527835826,1,High,LogisticRegression
14872,0.7191177104144717,1,High,LogisticRegression
15137,0.7765324246934358,1,High,LogisticRegression
13612,0.8674747258591782,1,High,LogisticRegression
13595,0.7281828447011139,1,High,LogisticRegression
12632,0.7266971654206124,1,High,LogisticRegression
16958,0.7134783457984666,1,High,LogisticRegression
12730,0.7738622747643236,1,High,LogisticRegression
13041,0.7009981192443189,1,High,LogisticRegression
15309,0.8036217246948414,1,High,LogisticRegression
13541,0.7560223748881691,1,High,LogisticRegression
12440,0.8094013203741224,1,High,LogisticRegression
13287,0.8168317766118735,1,High,LogisticRegression
13175,0.8249177231679192,1,High,LogisticRegression
17482,0.7633450336117275,1,High,LogisticRegression
15794,0.9204589573202674,1,High,LogisticRegression
12696,0.7560275693717292,1,High,LogisticRegression
12761,0.8036078085140919,1,High,LogisticRegression
15331,0.7266733353548136,1,High,LogisticRegression
14302,0.7053793532246061,1,High,LogisticRegression
18275,0.8394631667280263,1,High,LogisticRegression
12745,0.7476080821111633,1,High,LogisticRegression
16075,0.7783465468573342,1,High,LogisticRegression
13783,0.7482296452390074,1,High,LogisticRegression
17638,0.9078761170715587,1,High,LogisticRegression
17681,0.8155053246742048,1,High,LogisticRegression
13286,0.8612439156603133,1,High,LogisticRegression
18163,0.8499536335148804,1,High,LogisticRegression
13585,0.7456066667803045,1,High,LogisticRegression
12786,0.9076797103351042,1,High,LogisticRegression
18187,0.874365548993186,1,High,LogisticRegression
16472,0.7253958191695535,1,High,LogisticRegression
13057,0.7701268499219881,1,High,LogisticRegression
13264,0.7510633915478496,1,High,LogisticRegression
14228,0.7026007754398008,1,High,LogisticRegression
17005,0.756467564156971,1,High,LogisticRegression
13537,0.709618490385592,1,High,LogisticRegression
16269,0.7243022991422499,1,High,LogisticRegression
14026,0.739096277032468,1,High,LogisticRegression
13604,0.9027829702407582,1,High,LogisticRegression
12485,0.8573979748403603,1,High,LogisticRegression
17825,0.8110783485430533,1,High,LogisticRegression
14809,0.8748368009814943,1,High,LogisticRegression
13559,0.8599005990998455,1,High,LogisticRegression
18271,0.8625656799091355,1,High,LogisticRegression
14151,0.8761477737017761,1,High,LogisticRegression
14563,0.7552542600567765,1,High,LogisticRegression
16568,0.7829221101325982,1,High,LogisticRegression
16704,0.8421149299084354,1,High,LogisticRegression
16862,0.7637847306916352,1,High,LogisticRegression
13433,0.7649053626005807,1,High,LogisticRegression
15715,0.774573450710319,1,High,LogisticRegression
13622,0.9065233309294312,1,High,LogisticRegression
17380,0.76175832467335,1,High,LogisticRegression
14558,0.888176537172767,1,High,LogisticRegression
15183,0.7960762257610456,1,High,LogisticRegression
15666,0.7280741158053137,1,High,LogisticRegression
13540,0.7516282724830067,1,High,LogisticRegression
16198,0.7795499405988907,1,High,LogisticRegression
14115,0.7804146399900926,1,High,LogisticRegression
14169,0.7211832030431092,1,High,LogisticRegression
13020,0.8239023869624216,1,High,LogisticRegression
15956,0.8335720747362779,1,High,LogisticRegression
15362,0.7295982276800111,1,High,LogisticRegression
16844,0.8322757891914957,1,High,LogisticRegression
16132,0.8344714391194313,1,High,LogisticRegression
14929,0.7518441528453352,1,High,LogisticRegression
16922,0.8249608055693376,1,High,LogisticRegression
16675,0.7477750428945655,1,High,LogisticRegression
15243,0.74750802448766,1,High,LogisticRegression
17270,0.7390720784751376,1,High,LogisticRegression
16534,0.894225075160678,1,High,LogisticRegression
18264,0.8081445727727096,1,High,LogisticRegression
14771,0.8404161634542335,1,High,LogisticRegression
14254,0.7686609411657032,1,High,LogisticRegression
15631,0.8761755662487049,1,High,LogisticRegression
14611,0.7128645715701069,1,High,LogisticRegression
17156,0.7899223995876947,1,High,LogisticRegression
15929,0.9351695521087017,1,High,LogisticRegression
17845,0.7893393567563891,1,High,LogisticRegression
13472,0.7612033799388406,1,High,LogisticRegression
16158,0.7119141474261488,1,High,LogisticRegression
15191,0.7302510629994495,1,High,LogisticRegression
12403,0.902117427751372,1,High,LogisticRegression
